City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Alfred,72,ZA,1571631789,90,-33.59,26.89,60.01,5.99
Chernyshevskiy,100,RU,1571631790,71,63.01,112.47,20.96,3.8
Pangnirtung,56,CA,1571631501,50,66.15,-65.72,17.18,2.42
Atar,0,MR,1571631790,29,20.52,-13.05,80.43,10.76
Cape Town,40,ZA,1571631790,71,-33.93,18.42,57.99,3.36
Sirjan,26,IR,1571631791,44,29.44,55.67,54.87,4.41
Ushuaia,13,AR,1571631791,93,-54.81,-68.31,29.6,4.21
Saint-Philippe,1,CA,1571631791,100,45.36,-73.48,45.0,3.36
Amapa,40,HN,1571631792,83,15.09,-87.97,82.4,4.7
Fukue,75,JP,1571631792,68,35.03,136.69,70.0,2.24
Esperance,75,AU,1571631792,68,-33.86,121.89,68.0,14.99
Hobart,20,AU,1571631793,39,-42.88,147.33,66.2,11.41
Hasaki,75,JP,1571631793,68,35.73,140.83,68.0,12.75
Ust-Kuyga,63,RU,1571631793,96,70.0,135.55,6.89,2.53
Tautira,75,PF,1571631552,78,-17.73,-149.15,82.0,6.93
Bredasdorp,100,ZA,1571631794,62,-34.53,20.04,57.99,10.29
Rikitea,94,PF,1571631794,73,-23.12,-134.97,70.39,15.19
Suwalki,100,PL,1571631794,94,54.11,22.93,48.0,3.4
Yatou,40,CM,1571631795,100,3.63,9.81,75.2,1.12
Dikson,69,RU,1571631795,83,73.51,80.55,26.24,15.28
Maningrida,0,AU,1571631795,24,-12.05,134.23,97.26,13.71
Albany,90,US,1571631796,87,42.65,-73.75,46.99,3.36
Anaconda,20,US,1571631796,74,46.13,-112.94,30.2,5.82
Hermanus,100,ZA,1571631796,86,-34.42,19.24,57.99,3.0
Ilulissat,89,GL,1571631796,62,69.22,-51.1,19.4,2.24
Wangaratta,0,AU,1571631797,24,-36.36,146.32,78.8,10.29
Adrar,0,DZ,1571631479,28,27.87,-0.29,69.8,4.7
Cooma,28,AU,1571631798,10,-36.24,149.13,71.6,6.93
Bethel,90,US,1571631798,95,60.79,-161.76,35.6,6.93
Carnarvon,0,ZA,1571631798,47,-30.97,22.13,53.04,15.84
Jabinyanah,20,TN,1571631247,83,35.03,10.91,75.2,10.29
Sabang,11,PH,1571631799,73,13.8,121.11,87.01,5.99
Meulaboh,98,ID,1571631799,85,4.14,96.13,79.16,6.4
Kodiak,90,US,1571631800,93,39.95,-94.76,59.0,8.05
Saint George,40,GR,1571631800,100,39.45,22.34,57.2,1.01
Mahebourg,90,MU,1571631800,88,-20.41,57.7,75.0,13.87
Mataura,82,NZ,1571631801,76,-46.19,168.86,48.0,14.0
Russell,40,US,1571631801,37,38.9,-98.86,55.4,17.22
Chantada,90,ES,1571631801,100,42.61,-7.77,46.0,2.24
Shangzhi,0,CN,1571631802,31,45.21,127.96,48.56,10.04
Jamestown,35,AU,1571631802,16,-33.21,138.6,83.15,1.77
Hamilton,5,CA,1571631802,100,43.26,-79.87,51.8,3.36
Okhotsk,96,RU,1571631803,56,59.36,143.24,33.26,7.76
San Cristobal,35,HN,1571631803,86,14.68,-86.92,67.47,4.36
Kavieng,100,PG,1571631803,77,-2.57,150.8,80.11,3.6
Praia da Vitoria,40,PT,1571631804,72,38.73,-27.07,62.6,6.87
Fortuna,1,US,1571631256,81,40.6,-124.16,54.0,5.03
Zhigansk,39,RU,1571631804,92,66.77,123.37,7.08,4.23
Mogadishu,20,SO,1571631805,69,2.04,45.34,77.0,3.36
Bambous Virieux,90,MU,1571631805,88,-20.34,57.76,75.0,13.87
Atuona,2,PF,1571631806,74,-9.8,-139.03,79.44,12.46
Mount Isa,0,AU,1571631806,6,-20.73,139.49,93.2,10.29
Kaitangata,100,NZ,1571631806,59,-46.28,169.85,51.01,5.99
Samarkand,0,UZ,1571631807,38,39.65,66.98,60.8,2.24
Kuloy,100,RU,1571631807,96,61.03,42.49,37.02,3.31
Kenora,90,CA,1571631807,66,49.76,-94.48,48.2,4.7
Pattaya,20,TH,1571631808,52,12.93,100.9,93.99,6.93
Salalah,0,OM,1571631808,39,17.01,54.1,78.8,8.05
Vila Velha,75,BR,1571631583,74,-3.71,-38.6,79.0,10.29
Sinnamary,1,GF,1571631809,80,5.38,-52.96,81.19,12.39
Carutapera,100,BR,1571631474,85,-1.2,-46.02,78.11,5.35
Kruisfontein,97,ZA,1571631548,92,-34.0,24.73,55.29,10.65
Quelimane,0,MZ,1571631809,83,-17.88,36.89,75.2,4.7
Ilabaya,2,PE,1571631810,97,-17.42,-70.51,49.28,2.62
Tarakan,52,ID,1571631810,67,3.3,117.63,86.25,4.74
Hilo,90,US,1571631810,69,19.71,-155.08,80.6,4.7
Mbeya,2,TZ,1571631811,81,-8.91,33.47,62.06,1.86
Sao Joao da Barra,97,BR,1571631549,73,-21.64,-41.05,66.5,4.25
Yaan,86,NG,1571631811,94,7.38,8.57,71.13,2.35
Pangai,20,TO,1571631812,74,-19.8,-174.35,82.4,8.05
Punta Arenas,0,CL,1571631812,76,-53.16,-70.91,39.2,13.87
Butaritari,46,KI,1571631812,67,3.07,172.79,85.35,10.4
Chase,1,US,1571631813,32,38.35,-98.35,57.99,20.8
Kununurra,31,AU,1571631312,19,-15.77,128.74,100.4,11.41
Vaini,75,IN,1571631813,88,15.34,74.49,73.4,2.24
Dawlatabad,100,AF,1571631814,19,36.41,64.91,57.52,1.12
Savannah Bight,0,HN,1571631814,77,16.45,-85.85,84.95,26.98
Porto Belo,75,BR,1571631814,72,-27.15,-48.54,64.99,5.82
Ben Tre,100,VN,1571631815,64,10.24,106.37,86.59,6.04
Bathsheba,20,BB,1571631815,88,13.22,-59.52,77.0,4.7
Biak,9,ID,1571631815,57,-0.91,122.88,76.51,7.54
Plaster Rock,1,CA,1571631815,80,46.91,-67.4,41.0,1.79
Torbay,75,CA,1571631435,86,47.66,-52.73,43.0,13.87
East London,0,ZA,1571631233,72,-33.02,27.91,64.4,8.05
Faanui,80,PF,1571631816,75,-16.48,-151.75,80.06,5.59
America Dourada,0,BR,1571631817,54,-11.46,-41.44,71.18,5.55
Yagodnoye,98,RU,1571631817,92,62.52,149.63,16.61,1.72
Airai,11,TL,1571631817,42,-8.93,125.41,90.23,4.09
Santa Maria,75,BR,1571631818,57,-16.02,-48.01,78.8,4.7
Inawashiro,75,JP,1571631818,82,37.55,140.1,66.0,4.7
Gorodets,0,RU,1571631818,93,56.65,43.48,53.01,11.18
Bluff,0,AU,1571631819,28,-23.58,149.07,85.13,12.08
Barrow,100,AR,1571631819,60,-38.31,-60.23,55.7,9.66
Port Pirie,95,AU,1571631820,31,-33.18,138.01,75.2,10.29
Chapais,90,CA,1571631820,80,49.78,-74.86,41.0,4.7
Cidreira,100,BR,1571631820,72,-30.17,-50.22,60.56,5.32
Mecca,0,SA,1571631821,69,21.43,39.83,76.42,2.04
Port Elizabeth,90,US,1571631821,87,39.31,-74.98,57.0,17.22
Pevek,98,RU,1571631821,72,69.7,170.27,27.78,12.77
Silvan,0,TR,1571631822,87,38.14,41.01,50.0,2.24
Limbang,75,BN,1571631822,66,4.75,115.01,91.4,5.82
Avarua,0,CK,1571631822,83,-21.21,-159.78,77.0,10.29
Victoria,75,BN,1571631823,55,5.28,115.24,91.4,3.36
Port Augusta,100,AU,1571631420,43,-32.49,137.76,81.0,10.29
Capao da Canoa,100,BR,1571631823,79,-29.75,-50.01,58.35,1.72
Miri,100,NG,1571631823,88,10.31,9.75,70.44,3.18
Grand Gaube,90,MU,1571631571,88,-20.01,57.66,75.0,13.87
Thompson,90,CA,1571631824,93,55.74,-97.86,35.6,6.93
Cururupu,100,BR,1571631824,98,-1.82,-44.87,72.8,2.59
Puerto Ayora,6,EC,1571631825,89,-0.74,-90.35,68.0,7.0
Santa Marinella,0,IT,1571631825,100,42.04,11.87,64.99,6.93
Gat,0,SN,1571631470,88,14.69,-16.54,77.0,8.05
Bayshore Gardens,90,US,1571631826,88,27.43,-82.59,80.01,3.36
Encruzilhada do Sul,100,BR,1571631826,82,-30.54,-52.52,55.86,7.23
Ikauna,96,IN,1571631827,54,27.53,81.97,73.38,7.29
Busselton,0,AU,1571631827,39,-33.64,115.35,77.0,7.07
Sorong,100,ID,1571631827,85,-0.86,131.25,81.32,5.44
Binga,0,ZW,1571631828,22,-17.62,27.34,72.39,3.22
Nome,40,US,1571631828,94,30.04,-94.42,82.99,6.93
Ponta do Sol,17,BR,1571631829,81,-20.63,-46.0,68.63,1.3
Fort Myers Beach,90,US,1571631829,83,26.45,-81.95,80.6,3.24
Ust-Nera,14,RU,1571631829,91,64.57,143.24,11.67,1.14
Umarkhed,75,IN,1571631830,100,19.6,77.69,73.4,2.24
Sampit,51,ID,1571631830,73,-2.54,112.95,85.26,4.07
Los Llanos de Aridane,75,ES,1571631439,64,28.66,-17.92,68.0,11.41
Lebu,0,ET,1571631831,81,8.96,38.73,48.41,3.15
Brae,100,GB,1571631573,70,60.4,-1.35,46.4,10.29
Porto Novo,75,BR,1571631463,67,-23.68,-45.44,62.6,18.34
Tura,26,RU,1571631832,84,64.27,100.22,11.78,2.75
North Bend,90,US,1571631832,100,43.41,-124.22,57.0,6.93
Tiksi,61,RU,1571631833,90,71.64,128.87,2.4,6.46
Sitka,50,US,1571631833,43,37.17,-99.65,52.0,21.0
Aklavik,20,CA,1571631834,72,68.22,-135.01,15.8,8.05
Villa Carlos Paz,0,AR,1571631834,100,-31.42,-64.5,55.0,4.7
Moundou,100,TD,1571631834,95,8.57,16.07,69.08,2.86
Klaksvik,100,FO,1571631523,81,62.23,-6.59,46.4,19.46
Sao Filipe,87,CV,1571631835,85,14.9,-24.5,77.68,20.2
Chuy,100,UY,1571631835,79,-33.69,-53.46,57.36,9.53
Severo-Yeniseyskiy,100,RU,1571631836,77,60.37,93.04,19.63,3.78
Nanortalik,77,GL,1571631836,69,60.14,-45.24,38.93,5.28
Marawi,84,PH,1571631836,78,8.0,124.29,86.0,8.99
Guilin,0,CN,1571631837,48,25.28,110.29,82.4,2.24
Cockburn Town,100,TC,1571631496,79,21.46,-71.14,83.78,16.71
Pacific Grove,1,US,1571631838,63,36.62,-121.92,62.6,4.7
Yellowknife,5,CA,1571631838,92,62.45,-114.38,24.01,3.36
Arraial do Cabo,77,BR,1571631838,70,-22.97,-42.02,69.56,10.96
Richards Bay,71,ZA,1571631839,77,-28.77,32.06,71.11,19.91
Cherskiy,0,RU,1571631839,90,68.75,161.3,4.76,1.63
Brigantine,90,US,1571631839,100,39.41,-74.36,59.0,8.05
Koumac,0,NC,1571631840,76,-20.56,164.28,75.39,8.16
Mulki,0,PL,1571631840,100,49.81,20.51,55.99,1.12
Nouadhibou,19,MR,1571631840,88,20.93,-17.03,68.0,14.99
Ambilobe,0,MG,1571631840,80,-13.19,49.05,70.16,5.91
Coahuayana,100,MX,1571631841,90,18.62,-100.35,72.96,1.79
Ouallam,7,NE,1571631841,57,14.32,2.08,82.94,11.95
Estelle,0,FR,1571631841,87,43.97,3.47,59.0,3.36
San Pedro,100,AR,1571631480,81,-33.68,-59.66,55.99,1.23
Smiltene,100,LV,1571631842,97,57.42,25.9,50.0,6.17
Guerrero Negro,0,MX,1571631842,81,27.97,-114.04,67.49,14.85
Ambulu,96,ID,1571631843,87,-8.35,113.61,77.45,13.27
Urusha,100,RU,1571631843,77,54.05,122.9,31.83,10.4
Byron Bay,40,AU,1571631843,53,-28.65,153.62,77.0,14.99
Itoman,20,JP,1571631477,74,26.12,127.67,84.2,11.41
Port Macquarie,42,AU,1571631844,37,-31.43,152.91,73.99,12.75
Lompoc,1,US,1571631844,76,34.64,-120.46,69.8,14.94
Namibe,20,AO,1571631844,85,-15.19,12.15,69.35,4.79
Alta Floresta,96,BR,1571631569,96,-9.87,-56.08,71.72,1.63
Soyo,100,AO,1571631845,84,-6.13,12.37,78.8,8.21
Tremedal,76,BR,1571631845,79,-14.98,-41.41,71.33,6.46
Storslett,40,NO,1571631846,74,69.77,21.03,37.4,24.16
Cabo San Lucas,75,MX,1571631507,69,22.89,-109.91,79.0,4.7
Bonavista,67,CA,1571631846,86,48.65,-53.11,42.01,14.0
Koygorodok,100,RU,1571631846,98,60.44,51.01,38.8,4.05
Zhezkazgan,0,KZ,1571631847,73,47.8,67.71,23.0,17.9
Kapaa,90,US,1571631847,78,22.08,-159.32,82.4,8.05
Clyde River,90,CA,1571631493,86,70.47,-68.59,28.4,13.87
La Asuncion,66,AR,1571631848,79,-26.05,-65.39,52.34,2.37
Clane,20,IE,1571631848,100,53.29,-6.69,42.01,3.36
Mar del Plata,100,AR,1571631424,38,-46.43,-67.52,57.72,20.58
Ondjiva,25,AO,1571631849,29,-17.07,15.73,72.8,6.76
Longyearbyen,75,NO,1571631297,66,78.22,15.63,12.2,3.36
Berlevag,0,NO,1571631543,70,70.86,29.09,32.0,24.16
Geraldton,20,CA,1571631850,88,49.72,-86.95,32.0,2.24
Zhaotong,100,CN,1571631850,89,27.34,103.71,53.51,1.9
Borba,100,BR,1571631850,93,-4.39,-59.59,74.42,2.08
New Norfolk,20,AU,1571631851,39,-42.78,147.06,66.2,11.41
Saldanha,0,PT,1571631851,91,41.42,-6.55,44.81,1.66
Labuhan,97,ID,1571631851,45,-2.54,115.51,94.29,2.33
Castro,75,CL,1571631852,93,-42.48,-73.76,41.0,5.82
Vostok,85,RU,1571631852,69,46.45,135.83,50.27,9.78
Komsomolskiy,0,RU,1571631852,87,67.55,63.78,12.86,4.43
Abha,0,SA,1571631853,33,18.22,42.5,59.0,7.34
Provideniya,90,RU,1571631499,69,64.42,-173.23,33.8,15.66
Hede,100,SE,1571631853,96,60.45,15.49,37.99,2.39
Dingle,100,PH,1571631853,70,11.0,122.67,85.69,6.02
Borogontsy,60,RU,1571631327,86,62.67,131.17,30.59,3.04
Alice Springs,0,AU,1571631497,9,-23.7,133.88,84.2,11.41
Marsaxlokk,20,MT,1571631854,88,35.84,14.54,68.0,3.36
Dibrugarh,90,IN,1571631854,94,27.48,94.9,73.4,4.7
Moron,100,HT,1571631855,78,18.56,-74.26,80.67,4.63
Colombo,75,BR,1571631855,93,-25.29,-49.22,55.99,4.7
Norman Wells,90,CA,1571631437,100,65.28,-126.83,26.6,2.24
Denpasar,20,ID,1571631856,74,-8.65,115.22,86.0,14.99
Cartagena,100,ES,1571631551,67,37.63,-1.0,59.0,2.24
Suntar,100,RU,1571631856,89,62.16,117.65,25.73,8.99
Upernavik,74,GL,1571631856,77,72.79,-56.15,17.85,7.23
Georgetown,40,GY,1571631857,94,6.8,-58.16,77.0,4.7
Tuktoyaktuk,40,CA,1571631857,85,69.44,-133.03,19.4,8.05
Nikolskoye,90,RU,1571631857,87,59.7,30.79,51.8,6.71
Abnub,0,EG,1571631317,60,27.27,31.15,69.8,3.31
Aranos,0,NA,1571631858,19,-24.14,19.11,70.64,10.85
Qaanaaq,0,GL,1571631858,47,77.48,-69.36,1.22,11.21
Luba,50,PH,1571631859,61,17.32,120.7,86.28,3.33
